epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,930.834,1.48135,2.37973,1.69939,0.58624,0.23797,0.25509,0.15527,1.6616,2.53829,1.9608,0.000175199,0.000175199,0.000175199
2,1745.34,1.53854,2.16484,1.75068,0.65845,0.2902,0.30432,0.18592,1.56346,1.94266,1.87103,0.000343592,0.000343592,0.000343592
3,2583.56,1.51166,2.06916,1.73666,0.69503,0.30904,0.34307,0.21125,1.49263,2.03959,1.78941,0.000505041,0.000505041,0.000505041
4,3350.46,1.47014,1.93679,1.71038,0.79226,0.32285,0.37575,0.2291,1.46639,1.66578,1.80258,0.000494756,0.000494756,0.000494756
5,4115.52,1.41298,1.7515,1.66135,0.65045,0.36998,0.41214,0.25491,1.39152,1.53131,1.72078,0.000484341,0.000484341,0.000484341
6,4883.89,1.35929,1.61668,1.61629,0.74273,0.39301,0.44485,0.27841,1.3611,1.36617,1.70352,0.000473926,0.000473926,0.000473926
7,5653.94,1.33028,1.52974,1.58747,0.61531,0.4562,0.48385,0.316,1.29624,1.24435,1.643,0.000463511,0.000463511,0.000463511
8,6421.01,1.28892,1.43982,1.56573,0.63671,0.47864,0.50772,0.32762,1.29295,1.22586,1.63888,0.000453096,0.000453096,0.000453096
9,7183.42,1.27557,1.37794,1.54584,0.64046,0.45634,0.49738,0.32889,1.26467,1.19362,1.62894,0.000442682,0.000442682,0.000442682
10,7948.44,1.24067,1.32894,1.53217,0.61587,0.54811,0.57787,0.36914,1.2405,1.0793,1.59867,0.000432267,0.000432267,0.000432267
11,8716.09,1.23169,1.26482,1.5185,0.62356,0.51465,0.57071,0.36451,1.23692,1.07645,1.59741,0.000421852,0.000421852,0.000421852
12,9490.66,1.20123,1.20751,1.49212,0.62061,0.58039,0.61203,0.3969,1.20966,1.00109,1.55781,0.000411437,0.000411437,0.000411437
13,10257.9,1.17934,1.14946,1.47518,0.63543,0.60896,0.62992,0.40881,1.18884,0.95656,1.54973,0.000401022,0.000401022,0.000401022
14,11031.7,1.16966,1.12253,1.46486,0.63399,0.64074,0.65837,0.42253,1.1819,0.90981,1.55156,0.000390608,0.000390608,0.000390608
15,11797,1.15519,1.09908,1.45705,0.58348,0.67015,0.67841,0.43948,1.16471,0.87834,1.53252,0.000380193,0.000380193,0.000380193
16,12564.5,1.13033,1.04991,1.43844,0.69006,0.59501,0.6777,0.44077,1.16278,0.84739,1.538,0.000369778,0.000369778,0.000369778
17,13348.7,1.11985,1.01964,1.42579,0.77288,0.6266,0.70855,0.45648,1.16682,0.83671,1.52724,0.000359363,0.000359363,0.000359363
18,14130.5,1.10732,0.99678,1.41602,0.79836,0.61373,0.71587,0.46844,1.16256,0.8224,1.52904,0.000348948,0.000348948,0.000348948
19,14897.9,1.09278,0.96375,1.40437,0.72827,0.66092,0.71494,0.45787,1.17511,0.82574,1.51921,0.000338534,0.000338534,0.000338534
20,15663,1.07045,0.93194,1.3853,0.71832,0.72067,0.75755,0.4827,1.14812,0.76592,1.51425,0.000328119,0.000328119,0.000328119
21,16425.8,1.06587,0.90453,1.38785,0.76968,0.65437,0.75514,0.49078,1.1563,0.75915,1.52029,0.000317704,0.000317704,0.000317704
22,17186,1.04732,0.87859,1.37148,0.78509,0.70617,0.75584,0.49046,1.15622,0.7286,1.52391,0.000307289,0.000307289,0.000307289
23,17952.4,1.03615,0.85965,1.35767,0.73765,0.76699,0.79257,0.50938,1.13818,0.70374,1.50324,0.000296874,0.000296874,0.000296874
24,18720.4,1.02078,0.82685,1.34571,0.77206,0.67156,0.76392,0.50136,1.15385,0.70565,1.50663,0.00028646,0.00028646,0.00028646
25,19485.9,1.00571,0.81753,1.32853,0.79,0.74968,0.80996,0.51499,1.13986,0.69226,1.50628,0.000276045,0.000276045,0.000276045
26,20253.2,1.00165,0.79291,1.32583,0.79523,0.74608,0.78758,0.51455,1.1451,0.67665,1.50701,0.00026563,0.00026563,0.00026563
27,21020.2,0.97589,0.77239,1.30764,0.81209,0.7934,0.83232,0.52417,1.126,0.65351,1.48938,0.000255215,0.000255215,0.000255215
28,21790.7,0.96434,0.74845,1.30349,0.83548,0.73986,0.82442,0.54054,1.12446,0.63744,1.48457,0.0002448,0.0002448,0.0002448
29,22552.4,0.95268,0.73605,1.29089,0.83143,0.73374,0.81204,0.5246,1.13397,0.63001,1.51299,0.000234386,0.000234386,0.000234386
30,23316.3,0.9391,0.71854,1.28296,0.86027,0.76633,0.83706,0.53937,1.13602,0.64348,1.51524,0.000223971,0.000223971,0.000223971
